sale_id,order_id,product_id,quantity,unit_price,discount,total_amount
SALE000066,ORD00020,PROD011,3,3935.83,0.11,10508.67
SALE000067,ORD00020,PROD041,3,3700.67,0.05,10546.91
SALE000068,ORD00020,PROD006,1,3699.92,0.09,3366.93
SALE000069,ORD00021,PROD047,1,966.72,0.01,957.05
SALE000070,ORD00022,PROD047,4,966.72,0.09,3518.86
SALE000071,ORD00022,PROD027,4,3088.97,0.03,11985.2
SALE000072,ORD00022,PROD011,4,3935.83,0.2,12594.66
SALE000073,ORD00022,PROD032,2,2585.5,0.04,4964.16
SALE000074,ORD00023,PROD003,3,2466.79,0.01,7326.37
SALE000075,ORD00024,PROD007,2,2406.29,0.22,3753.81
SALE000076,ORD00024,PROD005,2,1657.15,0.18,2717.73
SALE000077,ORD00024,PROD022,1,2334.31,0.08,2147.57
SALE000078,ORD00025,PROD031,2,3700.3,0.15,6290.51
SALE000079,ORD00025,PROD046,4,3323.78,0.04,12763.32
SALE000080,ORD00025,PROD002,1,535.51,0.08,492.67
SALE000081,ORD00025,PROD028,2,379.93,0.1,683.87
SALE000082,ORD00025,PROD042,3,1798.59,0.17,4478.49
SALE000083,ORD00026,PROD016,4,3456.27,0.14,11889.57
SALE000084,ORD00026,PROD007,4,2406.29,0.04,9240.15
SALE000085,ORD00026,PROD004,3,792.74,0.0,2378.22
SALE000086,ORD00027,PROD019,4,4212.31,0.05,16006.78
SALE000087,ORD00028,PROD014,2,3945.17,0.16,6627.89
SALE000088,ORD00029,PROD031,1,3700.3,0.08,3404.28
SALE000089,ORD00030,PROD031,1,3700.3,0.16,3108.25
SALE000090,ORD00030,PROD032,4,2585.5,0.05,9824.9
SALE000091,ORD00030,PROD043,4,1517.85,0.09,5524.97
SALE000092,ORD00030,PROD017,4,2216.14,0.01,8775.91
SALE000093,ORD00031,PROD030,1,793.34,0.04,761.61
SALE000094,ORD00031,PROD017,1,2216.14,0.02,2171.82
SALE000095,ORD00031,PROD015,3,1611.26,0.2,3867.02
SALE000096,ORD00031,PROD018,4,1310.62,0.24,3984.28
SALE000097,ORD00032,PROD015,4,1611.26,0.24,4898.23
SALE000098,ORD00032,PROD036,4,3595.8,0.14,12369.55
SALE000099,ORD00032,PROD004,2,792.74,0.12,1395.22
SALE000100,ORD00032,PROD025,1,4480.83,0.1,4032.75
SALE000101,ORD00032,PROD034,1,256.28,0.13,222.96
SALE000102,ORD00033,PROD037,4,406.82,0.04,1562.19
SALE000103,ORD00033,PROD044,2,1781.03,0.24,2707.17
SALE000104,ORD00033,PROD040,2,4784.68,0.03,9282.28
SALE000105,ORD00033,PROD010,4,2324.26,0.02,9111.1
SALE000106,ORD00033,PROD008,4,1910.65,0.05,7260.47
SALE000107,ORD00034,PROD039,3,109.94,0.23,253.96
SALE000108,ORD00034,PROD017,1,2216.14,0.02,2171.82
SALE000109,ORD00035,PROD026,4,3201.51,0.23,9860.65
SALE000110,ORD00035,PROD036,1,3595.8,0.2,2876.64
SALE000111,ORD00035,PROD021,4,4513.72,0.03,17513.23
SALE000112,ORD00035,PROD018,2,1310.62,0.04,2516.39
SALE000113,ORD00035,PROD034,1,256.28,0.23,197.34
SALE000114,ORD00036,PROD050,4,3318.5,0.07,12344.82
SALE000115,ORD00036,PROD007,4,2406.29,0.14,8277.64
SALE000116,ORD00036,PROD019,4,4212.31,0.01,16680.75
SALE000117,ORD00036,PROD035,3,469.72,0.1,1268.24
SALE000118,ORD00036,PROD023,4,3204.15,0.01,12688.43
SALE000119,ORD00037,PROD045,4,3884.53,0.23,11964.35
SALE000120,ORD00037,PROD016,3,3456.27,0.01,10265.12
SALE000121,ORD00037,PROD004,3,792.74,0.08,2187.96
SALE000122,ORD00038,PROD045,2,3884.53,0.08,7147.54
SALE000123,ORD00038,PROD044,4,1781.03,0.19,5770.54
SALE000124,ORD00038,PROD007,3,2406.29,0.07,6713.55
SALE000125,ORD00038,PROD015,4,1611.26,0.15,5478.28
SALE000126,ORD00039,PROD013,4,4778.91,0.05,18159.86
SALE000127,ORD00040,PROD048,3,911.84,0.21,2161.06
SALE000128,ORD00040,PROD032,2,2585.5,0.02,5067.58
SALE000129,ORD00040,PROD049,4,537.06,0.03,2083.79
SALE000130,ORD00040,PROD034,1,256.28,0.04,246.03
SALE000131,ORD00041,PROD004,1,792.74,0.11,705.54
SALE000132,ORD00041,PROD016,3,3456.27,0.18,8502.42
SALE000133,ORD00042,PROD024,4,3313.8,0.16,11134.37
SALE000134,ORD00042,PROD030,1,793.34,0.17,658.47
SALE000135,ORD00042,PROD033,2,3417.13,0.09,6219.18
SALE000136,ORD00043,PROD029,3,2616.12,0.09,7142.01
SALE000137,ORD00043,PROD012,3,4465.82,0.19,10851.94
SALE000138,ORD00043,PROD031,1,3700.3,0.07,3441.28
SALE000139,ORD00043,PROD038,4,402.72,0.01,1594.77
SALE000140,ORD00043,PROD036,2,3595.8,0.21,5681.36
SALE000141,ORD00044,PROD044,3,1781.03,0.16,4488.2
SALE000142,ORD00044,PROD014,1,3945.17,0.22,3077.23
SALE000143,ORD00045,PROD031,2,3700.3,0.16,6216.5
SALE000144,ORD00046,PROD001,3,4229.57,0.11,11292.95
SALE000145,ORD00046,PROD015,4,1611.26,0.21,5091.58
SALE000146,ORD00046,PROD017,4,2216.14,0.06,8332.69
SALE000147,ORD00046,PROD039,4,109.94,0.08,404.58
SALE000148,ORD00046,PROD020,4,240.21,0.15,816.71
SALE000149,ORD00047,PROD033,3,3417.13,0.14,8816.2
SALE000150,ORD00048,PROD039,4,109.94,0.02,430.96
SALE000151,ORD00048,PROD019,3,4212.31,0.16,10615.02
SALE000152,ORD00048,PROD020,3,240.21,0.07,670.19
SALE000153,ORD00048,PROD044,3,1781.03,0.05,5075.94
SALE000154,ORD00048,PROD007,2,2406.29,0.22,3753.81
SALE000155,ORD00049,PROD026,1,3201.51,0.16,2689.27
SALE000156,ORD00049,PROD043,3,1517.85,0.06,4280.34
SALE000157,ORD00049,PROD021,4,4513.72,0.1,16249.39
SALE000158,ORD00049,PROD044,1,1781.03,0.15,1513.88
SALE000159,ORD00049,PROD009,2,2002.66,0.09,3644.84
SALE000160,ORD00050,PROD044,4,1781.03,0.0,7124.12
SALE000161,ORD00050,PROD035,3,469.72,0.13,1225.97
SALE000162,ORD00051,PROD043,2,1517.85,0.07,2823.2
SALE000163,ORD00051,PROD036,4,3595.8,0.03,13951.7
SALE000164,ORD00052,PROD047,2,966.72,0.24,1469.41
SALE000165,ORD00052,PROD036,3,3595.8,0.16,9061.42
SALE000166,ORD00052,PROD049,2,537.06,0.09,977.45
SALE000167,ORD00053,PROD027,3,3088.97,0.15,7876.87
SALE000168,ORD00053,PROD022,4,2334.31,0.21,7376.42
SALE000169,ORD00053,PROD024,4,3313.8,0.01,13122.65
SALE000170,ORD00054,PROD038,1,402.72,0.22,314.12
SALE000171,ORD00054,PROD040,4,4784.68,0.13,16650.69
SALE000172,ORD00054,PROD005,4,1657.15,0.01,6562.31
SALE000173,ORD00054,PROD031,2,3700.3,0.03,7178.58
SALE000174,ORD00054,PROD013,2,4778.91,0.09,8697.62
SALE000175,ORD00055,PROD030,1,793.34,0.12,698.14
SALE000176,ORD00055,PROD010,2,2324.26,0.08,4276.64
SALE000177,ORD00055,PROD021,1,4513.72,0.0,4513.72
SALE000178,ORD00055,PROD046,3,3323.78,0.05,9472.77
SALE000179,ORD00055,PROD012,2,4465.82,0.14,7681.21
SALE000180,ORD00056,PROD032,1,2585.5,0.03,2507.94
SALE000181,ORD00056,PROD049,4,537.06,0.16,1804.52
SALE000182,ORD00057,PROD028,1,379.93,0.13,330.54
SALE000183,ORD00057,PROD031,3,3700.3,0.24,8436.68
SALE000184,ORD00057,PROD025,3,4480.83,0.19,10888.42
SALE000185,ORD00057,PROD001,2,4229.57,0.0,8459.14
SALE000186,ORD00058,PROD041,2,3700.67,0.06,6957.26
SALE000187,ORD00059,PROD020,4,240.21,0.13,835.93
SALE000188,ORD00059,PROD009,3,2002.66,0.04,5767.66
SALE000189,ORD00059,PROD007,1,2406.29,0.07,2237.85
SALE000190,ORD00060,PROD030,3,793.34,0.11,2118.22
SALE000191,ORD00060,PROD047,2,966.72,0.09,1759.43
SALE000192,ORD00060,PROD034,4,256.28,0.09,932.86
SALE000193,ORD00061,PROD011,1,3935.83,0.06,3699.68
SALE000194,ORD00061,PROD026,2,3201.51,0.05,6082.87
SALE000195,ORD00062,PROD038,2,402.72,0.03,781.28
SALE000196,ORD00063,PROD025,3,4480.83,0.19,10888.42
SALE000197,ORD00064,PROD004,1,792.74,0.01,784.81
SALE000198,ORD00064,PROD039,1,109.94,0.1,98.95
SALE000199,ORD00064,PROD043,4,1517.85,0.03,5889.26
SALE000200,ORD00064,PROD007,3,2406.29,0.12,6352.61
SALE000201,ORD00064,PROD042,2,1798.59,0.05,3417.32
SALE000202,ORD00065,PROD020,4,240.21,0.17,797.5
SALE000203,ORD00066,PROD018,4,1310.62,0.21,4141.56
SALE000204,ORD00066,PROD040,1,4784.68,0.13,4162.67
SALE000205,ORD00066,PROD039,1,109.94,0.07,102.24
SALE000206,ORD00066,PROD045,1,3884.53,0.12,3418.39
SALE000207,ORD00066,PROD009,2,2002.66,0.19,3244.31
SALE000208,ORD00067,PROD013,2,4778.91,0.01,9462.24
SALE000209,ORD00067,PROD023,4,3204.15,0.23,9868.78
SALE000210,ORD00067,PROD046,4,3323.78,0.08,12231.51
SALE000211,ORD00067,PROD027,1,3088.97,0.0,3088.97
SALE000212,ORD00067,PROD019,1,4212.31,0.23,3243.48
SALE000213,ORD00068,PROD043,1,1517.85,0.18,1244.64
SALE000214,ORD00068,PROD032,1,2585.5,0.23,1990.84
SALE000215,ORD00068,PROD010,2,2324.26,0.11,4137.18
SALE000216,ORD00068,PROD006,3,3699.92,0.07,10322.78
SALE000217,ORD00068,PROD050,1,3318.5,0.02,3252.13
SALE000218,ORD00069,PROD003,3,2466.79,0.2,5920.3
SALE000219,ORD00069,PROD019,3,4212.31,0.11,11246.87
SALE000220,ORD00070,PROD007,1,2406.29,0.0,2406.29
SALE000221,ORD00071,PROD043,2,1517.85,0.08,2792.84
SALE000222,ORD00071,PROD042,4,1798.59,0.24,5467.71
SALE000223,ORD00072,PROD047,3,966.72,0.05,2755.15
SALE000224,ORD00072,PROD006,4,3699.92,0.1,13319.71
SALE000225,ORD00072,PROD024,4,3313.8,0.07,12327.34
SALE000226,ORD00073,PROD045,2,3884.53,0.03,7535.99
SALE000227,ORD00073,PROD031,1,3700.3,0.25,2775.23
SALE000228,ORD00073,PROD027,2,3088.97,0.03,5992.6
SALE000229,ORD00073,PROD042,4,1798.59,0.2,5755.49
SALE000230,ORD00074,PROD012,3,4465.82,0.15,11387.84
SALE000231,ORD00074,PROD040,2,4784.68,0.12,8421.04
SALE000232,ORD00074,PROD025,4,4480.83,0.03,17385.62
SALE000233,ORD00074,PROD050,4,3318.5,0.11,11813.86
SALE000234,ORD00075,PROD017,3,2216.14,0.0,6648.42
SALE000235,ORD00076,PROD050,3,3318.5,0.13,8661.28
SALE000236,ORD00076,PROD048,1,911.84,0.11,811.54
SALE000237,ORD00076,PROD037,2,406.82,0.12,716.0
SALE000238,ORD00076,PROD047,4,966.72,0.04,3712.2
SALE000239,ORD00076,PROD015,1,1611.26,0.0,1611.26
SALE000240,ORD00077,PROD033,4,3417.13,0.22,10661.45
SALE000241,ORD00077,PROD031,1,3700.3,0.19,2997.24
SALE000242,ORD00078,PROD016,1,3456.27,0.13,3006.95
SALE000243,ORD00078,PROD022,4,2334.31,0.1,8403.52
SALE000244,ORD00078,PROD018,2,1310.62,0.02,2568.82
SALE000245,ORD00079,PROD037,4,406.82,0.08,1497.1
SALE000246,ORD00079,PROD029,4,2616.12,0.19,8476.23
SALE000247,ORD00079,PROD006,1,3699.92,0.03,3588.92
SALE000248,ORD00079,PROD032,4,2585.5,0.01,10238.58
SALE000249,ORD00080,PROD001,3,4229.57,0.22,9897.19
SALE000250,ORD00080,PROD006,2,3699.92,0.16,6215.87
SALE000251,ORD00080,PROD039,4,109.94,0.24,334.22
SALE000252,ORD00080,PROD040,3,4784.68,0.21,11339.69
SALE000253,ORD00080,PROD041,2,3700.67,0.21,5847.06
SALE000254,ORD00081,PROD036,4,3595.8,0.18,11794.22
SALE000255,ORD00081,PROD050,3,3318.5,0.18,8163.51
SALE000256,ORD00081,PROD040,1,4784.68,0.0,4784.68
SALE000257,ORD00082,PROD001,3,4229.57,0.21,10024.08
SALE000258,ORD00082,PROD022,3,2334.31,0.14,6022.52
SALE000259,ORD00083,PROD045,2,3884.53,0.12,6836.77
SALE000260,ORD00083,PROD007,4,2406.29,0.03,9336.41
SALE000261,ORD00083,PROD003,2,2466.79,0.05,4686.9
SALE000262,ORD00084,PROD014,3,3945.17,0.03,11480.44
SALE000263,ORD00084,PROD030,4,793.34,0.01,3141.63
SALE000264,ORD00084,PROD013,1,4778.91,0.19,3870.92
SALE000265,ORD00084,PROD046,4,3323.78,0.11,11832.66
SALE000266,ORD00085,PROD033,1,3417.13,0.14,2938.73
SALE000267,ORD00085,PROD009,4,2002.66,0.21,6328.41
SALE000268,ORD00085,PROD032,4,2585.5,0.23,7963.34
SALE000269,ORD00085,PROD001,2,4229.57,0.17,7021.09
SALE000270,ORD00085,PROD034,2,256.28,0.18,420.3
SALE000271,ORD00086,PROD007,3,2406.29,0.13,6280.42
SALE000272,ORD00086,PROD025,4,4480.83,0.1,16130.99
SALE000273,ORD00087,PROD045,3,3884.53,0.24,8856.73
SALE000274,ORD00087,PROD049,4,537.06,0.2,1718.59
SALE000275,ORD00087,PROD016,2,3456.27,0.1,6221.29
SALE000276,ORD00087,PROD018,3,1310.62,0.21,3106.17
SALE000277,ORD00087,PROD026,3,3201.51,0.18,7875.71
SALE000278,ORD00088,PROD041,3,3700.67,0.17,9214.67
SALE000279,ORD00088,PROD014,2,3945.17,0.25,5917.76
SALE000280,ORD00088,PROD013,2,4778.91,0.13,8315.3
SALE000281,ORD00088,PROD040,3,4784.68,0.18,11770.31
SALE000282,ORD00088,PROD046,3,3323.78,0.14,8575.35
SALE000283,ORD00089,PROD037,3,406.82,0.22,951.96
SALE000284,ORD00089,PROD043,4,1517.85,0.2,4857.12
SALE000285,ORD00089,PROD046,1,3323.78,0.01,3290.54
SALE000286,ORD00089,PROD027,2,3088.97,0.01,6116.16
SALE000287,ORD00089,PROD044,1,1781.03,0.0,1781.03
SALE000288,ORD00090,PROD019,3,4212.31,0.04,12131.45
SALE000289,ORD00090,PROD044,1,1781.03,0.17,1478.25
SALE000290,ORD00091,PROD014,1,3945.17,0.09,3590.1
SALE000291,ORD00091,PROD049,4,537.06,0.03,2083.79
SALE000292,ORD00091,PROD035,2,469.72,0.19,760.95
SALE000293,ORD00092,PROD025,1,4480.83,0.23,3450.24
SALE000294,ORD00092,PROD016,4,3456.27,0.1,12442.57
SALE000295,ORD00092,PROD033,3,3417.13,0.24,7791.06
SALE000296,ORD00092,PROD045,1,3884.53,0.0,3884.53
SALE000297,ORD00092,PROD019,3,4212.31,0.05,12005.08
SALE000298,ORD00093,PROD015,3,1611.26,0.19,3915.36
SALE000299,ORD00093,PROD041,2,3700.67,0.19,5995.09
SALE000300,ORD00093,PROD046,2,3323.78,0.07,6182.23
SALE000301,ORD00093,PROD042,2,1798.59,0.25,2697.88
SALE000302,ORD00094,PROD012,2,4465.82,0.18,7323.94
SALE000303,ORD00095,PROD025,1,4480.83,0.11,3987.94
SALE000304,ORD00096,PROD017,3,2216.14,0.12,5850.61
SALE000305,ORD00096,PROD009,2,2002.66,0.01,3965.27
SALE000306,ORD00096,PROD011,3,3935.83,0.15,10036.37
SALE000307,ORD00096,PROD038,3,402.72,0.12,1063.18
SALE000308,ORD00096,PROD001,3,4229.57,0.02,12434.94
SALE000309,ORD00097,PROD034,1,256.28,0.2,205.02
SALE000310,ORD00097,PROD015,2,1611.26,0.1,2900.27
SALE000311,ORD00097,PROD012,4,4465.82,0.02,17506.01
SALE000312,ORD00098,PROD014,3,3945.17,0.08,10888.67
SALE000313,ORD00098,PROD043,3,1517.85,0.05,4325.87
SALE000314,ORD00099,PROD034,1,256.28,0.03,248.59
SALE000315,ORD00099,PROD031,3,3700.3,0.11,9879.8
SALE000316,ORD00099,PROD036,2,3595.8,0.24,5465.62
SALE000317,ORD00099,PROD049,3,537.06,0.1,1450.06
SALE000318,ORD00099,PROD042,1,1798.59,0.1,1618.73
SALE000319,ORD00100,PROD047,3,966.72,0.13,2523.14
SALE000320,ORD00100,PROD019,4,4212.31,0.12,14827.33
SALE000321,ORD00100,PROD002,3,535.51,0.22,1253.09
SALE000322,ORD00100,PROD034,2,256.28,0.08,471.56
SALE000323,ORD00100,PROD050,1,3318.5,0.24,2522.06
SALE000324,ORD00101,PROD050,1,3318.5,0.16,2787.54
SALE000325,ORD00101,PROD035,2,469.72,0.17,779.74
SALE000326,ORD00102,PROD044,1,1781.03,0.05,1691.98
SALE000327,ORD00102,PROD028,4,379.93,0.16,1276.56
SALE000328,ORD00103,PROD048,2,911.84,0.01,1805.44
SALE000329,ORD00104,PROD003,1,2466.79,0.04,2368.12
SALE000330,ORD00104,PROD006,3,3699.92,0.14,9545.79
SALE000331,ORD00104,PROD005,2,1657.15,0.23,2552.01
SALE000332,ORD00105,PROD025,4,4480.83,0.08,16489.45
SALE000333,ORD00105,PROD029,4,2616.12,0.17,8685.52
SALE000334,ORD00105,PROD041,1,3700.67,0.16,3108.56
SALE000335,ORD00105,PROD026,1,3201.51,0.19,2593.22
SALE000336,ORD00106,PROD003,1,2466.79,0.07,2294.11
SALE000337,ORD00106,PROD045,3,3884.53,0.15,9905.55
SALE000338,ORD00106,PROD005,3,1657.15,0.19,4026.87
SALE000339,ORD00106,PROD023,4,3204.15,0.1,11534.94
SALE000340,ORD00106,PROD033,1,3417.13,0.12,3007.07
SALE000341,ORD00107,PROD015,3,1611.26,0.24,3673.67
SALE000342,ORD00107,PROD009,2,2002.66,0.07,3724.95
SALE000343,ORD00107,PROD048,3,911.84,0.24,2079.0
SALE000344,ORD00107,PROD026,1,3201.51,0.14,2753.3
SALE000345,ORD00107,PROD035,2,469.72,0.03,911.26
SALE000346,ORD00108,PROD037,4,406.82,0.13,1415.73
SALE000347,ORD00109,PROD020,2,240.21,0.19,389.14
SALE000348,ORD00110,PROD014,2,3945.17,0.04,7574.73
SALE000349,ORD00110,PROD027,2,3088.97,0.15,5251.25
SALE000350,ORD00110,PROD042,3,1798.59,0.05,5125.98
SALE000351,ORD00111,PROD043,1,1517.85,0.21,1199.1
SALE000352,ORD00111,PROD037,4,406.82,0.16,1366.92
SALE000353,ORD00112,PROD019,1,4212.31,0.06,3959.57
SALE000354,ORD00113,PROD047,4,966.72,0.24,2938.83
SALE000356,ORD00114,PROD007,1,2406.29,0.23,1852.84
SALE000357,ORD00114,PROD019,3,4212.31,0.12,11120.5
SALE000358,ORD00115,PROD040,2,4784.68,0.14,8229.65
SALE000359,ORD00115,PROD043,3,1517.85,0.2,3642.84
SALE000360,ORD00115,PROD020,4,240.21,0.04,922.41
SALE000361,ORD00116,PROD016,4,3456.27,0.07,12857.32
SALE000362,ORD00116,PROD015,3,1611.26,0.03,4688.77
SALE000363,ORD00116,PROD046,3,3323.78,0.22,7777.65
SALE000364,ORD00117,PROD029,4,2616.12,0.14,8999.45
SALE000365,ORD00117,PROD023,2,3204.15,0.16,5382.97
SALE000366,ORD00117,PROD050,1,3318.5,0.21,2621.62
SALE000367,ORD00117,PROD020,2,240.21,0.22,374.73
SALE000368,ORD00118,PROD017,1,2216.14,0.18,1817.23
SALE000369,ORD00118,PROD047,1,966.72,0.21,763.71
SALE000370,ORD00119,PROD038,4,402.72,0.19,1304.81
SALE000371,ORD00120,PROD003,3,2466.79,0.14,6364.32
SALE000372,ORD00120,PROD036,4,3595.8,0.16,12081.89
SALE000373,ORD00121,PROD024,2,3313.8,0.22,5169.53
SALE000374,ORD00121,PROD026,3,3201.51,0.03,9316.39
SALE000375,ORD00122,PROD033,2,3417.13,0.21,5399.07
SALE000376,ORD00122,PROD006,2,3699.92,0.19,5993.87
SALE000377,ORD00122,PROD026,2,3201.51,0.11,5698.69
SALE000378,ORD00122,PROD024,2,3313.8,0.14,5699.74
SALE000379,ORD00122,PROD001,2,4229.57,0.18,6936.49
SALE000380,ORD00123,PROD023,4,3204.15,0.06,12047.6
SALE000381,ORD00123,PROD003,3,2466.79,0.09,6734.34
SALE000382,ORD00123,PROD015,1,1611.26,0.17,1337.35
SALE000383,ORD00123,PROD049,3,537.06,0.1,1450.06
SALE000384,ORD00124,PROD003,3,2466.79,0.21,5846.29
SALE000385,ORD00124,PROD042,3,1798.59,0.14,4640.36
SALE000386,ORD00124,PROD021,2,4513.72,0.09,8214.97
SALE000387,ORD00124,PROD007,4,2406.29,0.09,8758.9
SALE000388,ORD00125,PROD034,3,256.28,0.09,699.64
SALE000389,ORD00126,PROD034,3,256.28,0.2,615.07
SALE000390,ORD00126,PROD026,3,3201.51,0.0,9604.53
SALE000391,ORD00127,PROD039,4,109.94,0.04,422.17
SALE000392,ORD00127,PROD001,1,4229.57,0.13,3679.73
SALE000393,ORD00127,PROD033,3,3417.13,0.05,9738.82
SALE000394,ORD00127,PROD009,2,2002.66,0.04,3845.11
SALE000395,ORD00128,PROD046,3,3323.78,0.18,8176.5
SALE000396,ORD00128,PROD008,4,1910.65,0.17,6343.36
SALE000397,ORD00128,PROD043,4,1517.85,0.05,5767.83
SALE000398,ORD00128,PROD015,2,1611.26,0.16,2706.92
SALE000399,ORD00128,PROD027,4,3088.97,0.01,12232.32
SALE000400,ORD00129,PROD009,2,2002.66,0.03,3885.16
SALE000401,ORD00130,PROD003,3,2466.79,0.23,5698.28
SALE000402,ORD00130,PROD037,4,406.82,0.15,1383.19
SALE000403,ORD00130,PROD010,1,2324.26,0.22,1812.92
SALE000404,ORD00130,PROD004,3,792.74,0.24,1807.45
SALE000405,ORD00130,PROD011,2,3935.83,0.11,7005.78
SALE000406,ORD00131,PROD031,2,3700.3,0.2,5920.48
SALE000407,ORD00131,PROD011,2,3935.83,0.16,6612.19
SALE000408,ORD00131,PROD015,3,1611.26,0.04,4640.43
SALE000409,ORD00131,PROD027,3,3088.97,0.23,7135.52
SALE000410,ORD00132,PROD038,1,402.72,0.0,402.72
SALE000411,ORD00132,PROD005,4,1657.15,0.21,5236.59
SALE000412,ORD00132,PROD015,1,1611.26,0.04,1546.81
SALE000413,ORD00132,PROD025,1,4480.83,0.22,3495.05
SALE000414,ORD00132,PROD009,1,2002.66,0.02,1962.61
SALE000415,ORD00133,PROD039,1,109.94,0.22,85.75
SALE000416,ORD00133,PROD035,4,469.72,0.13,1634.63
SALE000417,ORD00134,PROD003,4,2466.79,0.06,9275.13
SALE000418,ORD00134,PROD045,4,3884.53,0.2,12430.5
SALE000419,ORD00134,PROD034,4,256.28,0.09,932.86
SALE000420,ORD00135,PROD007,2,2406.29,0.23,3705.69
SALE000421,ORD00135,PROD028,1,379.93,0.07,353.33
SALE000422,ORD00135,PROD009,4,2002.66,0.06,7530.0
SALE000423,ORD00135,PROD017,1,2216.14,0.18,1817.23
SALE000424,ORD00135,PROD031,1,3700.3,0.14,3182.26
SALE000425,ORD00136,PROD034,1,256.28,0.09,233.21
SALE000426,ORD00137,PROD045,4,3884.53,0.09,14139.69
SALE000427,ORD00137,PROD021,2,4513.72,0.11,8034.42
SALE000428,ORD00138,PROD017,3,2216.14,0.25,4986.32
